Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%
Shai Gilgeous-Alexander,34.2,32.7,5.0,6.4,1.7,1.0,0.519,0.375
Giannis Antetokounmpo,34.2,30.4,11.9,6.5,0.9,1.2,0.601,0.222
Nikola JokiÄ,36.7,29.6,12.7,10.2,1.8,0.6,0.576,0.417
Luka DonÄiÄ,35.4,28.2,8.2,7.7,1.8,0.4,0.45,0.368
Luka DonÄiÄ,35.7,28.1,8.3,7.8,2.0,0.4,0.464,0.354
Luka DonÄiÄ,35.1,28.2,8.1,7.5,1.6,0.4,0.438,0.379
Anthony Edwards,36.3,27.6,5.7,4.5,1.2,0.6,0.447,0.395
Jayson Tatum,36.4,26.8,8.7,6.0,1.1,0.5,0.452,0.343
Kevin Durant,36.5,26.6,6.0,4.2,0.8,1.2,0.527,0.43
Tyrese Maxey,37.7,26.3,3.3,6.1,1.8,0.4,0.437,0.337
Cade Cunningham,35.0,26.1,6.1,9.1,1.0,0.8,0.469,0.356
Jalen Brunson,35.4,26.0,2.9,7.3,0.9,0.1,0.488,0.383
Paolo Banchero,34.4,25.9,7.5,4.8,0.8,0.6,0.452,0.32
Devin Booker,37.3,25.6,4.1,7.1,0.9,0.2,0.461,0.332
LaMelo Ball,32.0,25.2,4.9,7.4,1.1,0.3,0.405,0.339
Damian Lillard,36.1,24.9,4.7,7.1,1.2,0.2,0.448,0.376
Anthony Davis,33.5,24.7,11.6,3.5,1.2,2.2,0.516,0.282
Anthony Davis,34.3,25.7,11.9,3.4,1.3,2.1,0.528,0.298
Anthony Davis,29.6,20.0,10.1,4.4,0.6,2.2,0.461,0.233
Kyrie Irving,36.1,24.7,4.8,4.6,1.3,0.5,0.473,0.401
Zion Williamson,28.6,24.6,7.2,5.3,1.2,0.9,0.567,0.231
Stephen Curry,32.2,24.5,4.4,6.0,1.1,0.4,0.448,0.397
LeBron James,34.9,24.4,7.8,8.2,1.0,0.6,0.513,0.376
Karl-Anthony Towns,35.0,24.4,12.8,3.1,1.0,0.7,0.526,0.42
Victor Wembanyama,33.2,24.3,11.0,3.7,1.1,3.8,0.476,0.352
Franz Wagner,33.7,24.2,5.7,4.7,1.3,0.4,0.463,0.295
Trae Young,36.0,24.2,3.1,11.6,1.2,0.2,0.411,0.34
Donovan Mitchell,31.4,24.0,4.5,5.0,1.3,0.2,0.443,0.368
Cam Thomas,31.2,24.0,3.3,3.8,0.6,0.1,0.438,0.349
Tyler Herro,35.4,23.9,5.2,5.5,0.9,0.2,0.472,0.375
Joel Embiid,30.2,23.8,8.2,4.5,0.7,0.9,0.444,0.299
De'Aaron Fox,36.1,23.5,4.8,6.3,1.5,0.4,0.463,0.31
De'Aaron Fox,37.0,25.0,5.0,6.1,1.5,0.4,0.469,0.322
De'Aaron Fox,34.0,19.7,4.3,6.8,1.5,0.3,0.446,0.274
Zach LaVine,35.2,23.3,4.3,4.2,0.8,0.2,0.511,0.446
Zach LaVine,34.1,24.0,4.8,4.5,0.9,0.2,0.511,0.446
Zach LaVine,36.6,22.4,3.5,3.8,0.6,0.1,0.511,0.446
Ja Morant,30.4,23.2,4.1,7.3,1.2,0.2,0.454,0.309
James Harden,35.3,22.8,5.8,8.7,1.5,0.7,0.41,0.352
Jaylen Brown,34.3,22.2,5.8,4.5,1.2,0.3,0.463,0.324
DeMar DeRozan,35.9,22.2,3.9,4.4,0.8,0.4,0.477,0.328
Brandon Ingram,33.1,22.2,5.6,5.2,0.9,0.6,0.465,0.374
Jaren Jackson Jr.,29.8,22.2,5.6,2.0,1.2,1.5,0.488,0.375
Norman Powell,32.6,21.8,3.2,2.1,1.2,0.2,0.484,0.418
Jalen Williams,32.4,21.6,5.3,5.1,1.6,0.7,0.484,0.365
Kawhi Leonard,31.9,21.5,5.9,3.1,1.6,0.5,0.498,0.411
Jamal Murray,36.1,21.4,3.9,6.0,1.4,0.5,0.474,0.393
Trey Murphy III,35.0,21.2,5.1,3.5,1.1,0.7,0.454,0.361
RJ Barrett,32.2,21.1,6.3,5.4,0.8,0.3,0.468,0.35
CJ McCollum,32.7,21.1,3.8,4.1,0.8,0.4,0.444,0.373
Jalen Green,32.9,21.0,4.6,3.4,0.9,0.3,0.423,0.354
Brandon Miller,34.2,21.0,4.9,3.6,1.1,0.7,0.403,0.355
Darius Garland,30.7,20.6,2.9,6.7,1.2,0.1,0.472,0.401
Jordan Poole,29.4,20.5,3.0,4.5,1.3,0.4,0.432,0.378
Coby White,33.1,20.4,3.7,4.5,0.9,0.2,0.453,0.37
Miles Bridges,31.7,20.3,7.5,3.9,0.7,0.7,0.431,0.313
Austin Reaves,34.9,20.2,4.5,5.8,1.1,0.3,0.46,0.377
Pascal Siakam,32.7,20.2,6.9,3.4,0.9,0.5,0.519,0.389
Kristaps PorziÅÄ£is,28.8,19.5,6.8,2.1,0.7,1.5,0.483,0.412
Scottie Barnes,32.8,19.3,7.7,5.8,1.4,1.0,0.446,0.271
Anfernee Simons,32.7,19.3,2.7,4.8,0.9,0.1,0.426,0.363
Desmond Bane,32.0,19.2,6.1,5.3,1.2,0.4,0.484,0.392
Domantas Sabonis,34.7,19.1,13.9,6.0,0.7,0.4,0.59,0.417
Alperen ÅengÃ¼n,31.5,19.1,10.3,4.9,1.1,0.8,0.496,0.233
John Collins,30.5,19.0,8.2,2.0,1.0,1.0,0.527,0.399
Lauri Markkanen,31.4,19.0,5.9,1.5,0.7,0.4,0.423,0.346
Jalen Johnson,35.7,18.9,10.0,5.0,1.6,1.0,0.5,0.312
Cameron Johnson,31.6,18.8,4.3,3.4,0.9,0.4,0.475,0.39
Julius Randle,32.3,18.7,7.1,4.7,0.7,0.2,0.485,0.344
Tyrese Haliburton,33.6,18.6,3.5,9.2,1.4,0.7,0.473,0.388
Evan Mobley,30.5,18.5,9.3,3.2,0.9,1.6,0.557,0.37
Shaedon Sharpe,31.3,18.5,4.5,2.8,0.9,0.2,0.452,0.311
Nikola VuÄeviÄ,31.2,18.5,10.1,3.5,0.8,0.7,0.53,0.402
Collin Sexton,27.9,18.4,2.7,4.2,0.7,0.1,0.48,0.406
Michael Porter Jr.,33.7,18.2,7.0,2.1,0.6,0.5,0.504,0.395
Bam Adebayo,34.3,18.1,9.6,4.3,1.3,0.7,0.485,0.357
Andrew Wiggins,30.7,18.0,4.5,2.6,1.0,0.8,0.448,0.374
Andrew Wiggins,30.1,17.6,4.6,2.4,0.9,0.8,0.444,0.379
Andrew Wiggins,32.1,19.0,4.2,3.3,1.2,1.0,0.458,0.36
OG Anunoby,36.6,18.0,4.8,2.2,1.5,0.9,0.476,0.372
Mikal Bridges,37.0,17.6,3.2,3.7,0.9,0.5,0.5,0.354
Jaden Ivey,29.9,17.6,4.1,4.0,0.9,0.4,0.46,0.409
Jimmy Butler,31.7,17.5,5.4,5.4,1.4,0.3,0.504,0.308
Jimmy Butler,30.6,17.0,5.2,4.8,1.1,0.4,0.54,0.361
Jimmy Butler,32.7,17.9,5.5,5.9,1.7,0.3,0.476,0.279
Dejounte Murray,32.6,17.5,6.5,7.4,2.0,0.4,0.393,0.299
Malik Monk,31.6,17.2,3.8,5.6,0.9,0.6,0.439,0.325
Immanuel Quickley,27.8,17.1,3.5,5.8,0.7,0.1,0.42,0.378
De'Andre Hunter,27.2,17.0,4.0,1.4,0.8,0.2,0.47,0.405
De'Andre Hunter,28.8,19.0,3.9,1.5,0.8,0.1,0.461,0.393
De'Andre Hunter,25.0,14.3,4.2,1.3,0.7,0.3,0.485,0.426
Bradley Beal,32.1,17.0,3.3,3.7,1.1,0.5,0.497,0.386
Deni Avdija,30.0,16.9,7.3,3.9,1.0,0.5,0.476,0.365
Keyonte George,31.5,16.8,3.8,5.6,0.7,0.1,0.391,0.343
Ivica Zubac,32.8,16.8,12.6,2.7,0.7,1.1,0.628,
Derrick White,33.9,16.4,4.5,4.8,0.9,1.1,0.442,0.384
Malik Beasley,27.8,16.3,2.6,1.7,0.9,0.1,0.43,0.416
Devin Vassell,31.0,16.3,4.0,2.9,1.3,0.5,0.443,0.368
Jordan Clarkson,26.0,16.2,3.2,3.7,0.8,0.2,0.408,0.362
Paul George,32.5,16.2,5.3,4.3,1.8,0.5,0.43,0.358
Jalen Suggs,28.6,16.2,4.0,3.7,1.5,0.9,0.41,0.314
Bennedict Mathurin,29.8,16.1,5.3,1.9,0.7,0.3,0.458,0.34
Myles Turner,30.2,15.6,6.5,1.5,0.8,2.0,0.481,0.396
Christian Braun,33.9,15.4,5.2,2.6,1.1,0.5,0.58,0.397
Jonathan Kuminga,24.3,15.3,4.6,2.2,0.8,0.4,0.454,0.305
Jared McCain,25.7,15.3,2.4,2.6,0.7,0.0,0.46,0.383
Mark Williams,26.6,15.3,10.2,2.5,0.7,1.2,0.604,0.0
Kelly Oubre Jr.,34.6,15.1,6.1,1.8,1.5,0.5,0.47,0.293
Chet Holmgren,27.4,15.0,8.0,2.0,0.7,2.2,0.49,0.379
Kyle Kuzma,29.8,14.8,5.7,2.3,0.6,0.3,0.436,0.307
Kyle Kuzma,27.7,15.2,5.8,2.5,0.6,0.2,0.42,0.281
Kyle Kuzma,31.8,14.5,5.6,2.2,0.5,0.4,0.455,0.333
Stephon Castle,26.7,14.7,3.7,4.1,0.9,0.3,0.428,0.285
Aaron Gordon,28.4,14.7,4.8,3.2,0.5,0.3,0.531,0.436
P.J. Washington,32.2,14.7,7.8,2.3,1.1,1.1,0.453,0.381
Quentin Grimes,26.8,14.6,4.3,3.0,1.0,0.3,0.467,0.385
Quentin Grimes,22.8,10.2,3.8,2.1,0.7,0.2,0.463,0.398
Quentin Grimes,33.7,21.9,5.2,4.5,1.5,0.4,0.469,0.373
Josh Giddey,30.2,14.6,8.1,7.2,1.2,0.6,0.465,0.378
Jakob Poeltl,29.6,14.5,9.6,2.8,1.2,1.2,0.627,0.333
Deandre Ayton,30.2,14.4,10.2,1.6,0.8,1.0,0.566,0.188
Gradey Dick,29.4,14.4,3.6,1.8,0.9,0.2,0.41,0.35
Jerami Grant,32.4,14.4,3.5,2.1,0.9,1.0,0.373,0.365
Payton Pritchard,28.4,14.3,3.8,3.5,0.9,0.2,0.472,0.407
Naz Reid,27.5,14.2,6.0,2.3,0.7,0.9,0.462,0.379
Dyson Daniels,33.8,14.1,5.9,4.4,3.0,0.7,0.493,0.34
Tre Mann,24.5,14.1,2.9,3.0,0.5,0.3,0.435,0.4
Amen Thompson,32.2,14.1,8.2,3.8,1.4,1.3,0.557,0.275
Fred VanVleet,35.2,14.1,3.7,5.6,1.6,0.4,0.378,0.345
Dillon Brooks,31.8,14.0,3.7,1.7,0.8,0.2,0.429,0.397
Tolu Smith,22.0,14.0,8.0,0.0,0.0,0.0,0.667,
Klay Thompson,27.3,14.0,3.4,2.0,0.7,0.4,0.412,0.391
Bobby Portis,25.4,13.9,8.4,2.1,0.7,0.5,0.466,0.365
Tobias Harris,31.6,13.7,5.9,2.2,1.0,0.8,0.477,0.345
Josh Hart,37.6,13.6,9.6,5.9,1.5,0.4,0.525,0.333
Jarrett Allen,28.0,13.5,9.7,1.9,0.9,0.9,0.706,0.0
Onyeka Okongwu,27.9,13.4,8.9,2.3,0.9,0.9,0.567,0.324
Russell Westbrook,27.9,13.3,4.9,6.1,1.4,0.5,0.449,0.323
Naji Marshall,27.8,13.2,4.8,3.0,1.0,0.2,0.508,0.275
Dennis SchrÃ¶der,28.1,13.1,2.6,5.4,0.9,0.2,0.406,0.342
Dennis SchrÃ¶der,33.6,18.4,3.0,6.6,1.1,0.2,0.452,0.387
Dennis SchrÃ¶der,26.2,10.6,2.3,4.4,1.0,0.1,0.375,0.322
Dennis SchrÃ¶der,25.2,10.8,2.6,5.3,0.5,0.2,0.378,0.302
Rui Hachimura,31.7,13.1,5.0,1.4,0.8,0.4,0.509,0.413
Brook Lopez,31.8,13.0,5.0,1.8,0.6,1.9,0.509,0.373
Alex Sarr,27.1,13.0,6.5,2.4,0.7,1.5,0.394,0.308
Moritz Wagner,18.8,12.9,4.9,1.4,0.8,0.4,0.562,0.36
Malcolm Brogdon,23.5,12.7,3.8,4.1,0.5,0.2,0.433,0.286
Scoot Henderson,26.7,12.7,3.0,5.1,1.0,0.2,0.419,0.354
Keldon Johnson,23.9,12.7,4.8,1.6,0.6,0.3,0.482,0.318
D'Angelo Russell,25.5,12.6,2.8,5.1,1.0,0.4,0.39,0.314
D'Angelo Russell,26.3,12.4,2.8,4.7,0.8,0.1,0.415,0.333
D'Angelo Russell,24.7,12.9,2.8,5.6,1.1,0.7,0.367,0.297
Zaccharie Risacher,24.6,12.6,3.6,1.2,0.7,0.5,0.458,0.355
Santi Aldama,25.5,12.5,6.4,2.9,0.8,0.4,0.483,0.368
Ty Jerome,19.9,12.5,2.5,3.4,1.1,0.0,0.516,0.439
Keegan Murray,34.3,12.4,6.7,1.4,0.8,0.9,0.444,0.343
Lonnie Walker IV,23.9,12.4,3.2,2.5,0.5,0.3,0.42,0.354
Harrison Barnes,27.2,12.3,3.8,1.7,0.5,0.2,0.508,0.433
Bilal Coulibaly,33.0,12.3,5.0,3.4,1.3,0.7,0.421,0.281
Ayo Dosunmu,30.3,12.3,3.5,4.5,0.9,0.4,0.492,0.328
Daniel Gafford,21.5,12.3,6.8,1.4,0.4,1.8,0.702,
Jaden McDaniels,31.9,12.2,5.7,2.0,1.3,0.9,0.477,0.33
Jabari Smith Jr.,30.1,12.2,7.0,1.1,0.4,0.7,0.438,0.354
Caris LeVert,24.9,12.1,3.2,3.4,0.9,0.5,0.467,0.373
Caris LeVert,23.8,10.2,2.8,3.7,0.9,0.5,0.453,0.405
Caris LeVert,26.6,14.9,3.7,2.9,0.9,0.5,0.482,0.338
Drew Timme,28.2,12.1,7.2,2.2,0.4,0.1,0.441,0.257
Tari Eason,24.9,12.0,6.4,1.5,1.7,0.9,0.487,0.342
Rudy Gobert,33.2,12.0,10.9,1.8,0.8,1.4,0.669,
Aaron Nesmith,25.0,12.0,4.0,1.2,0.8,0.4,0.507,0.431
Aaron Wiggins,22.9,12.0,3.9,1.8,0.8,0.2,0.488,0.383
Khris Middleton,22.8,11.9,3.7,4.1,0.9,0.2,0.475,0.361
Khris Middleton,23.2,12.6,3.7,4.4,0.7,0.2,0.512,0.407
Khris Middleton,22.1,10.7,3.7,3.4,1.3,0.2,0.413,0.277
Jalen Duren,26.1,11.8,10.3,2.7,0.7,1.1,0.692,
Donte DiVincenzo,25.9,11.7,3.7,3.6,1.2,0.3,0.422,0.397
Brandin Podziemski,26.8,11.7,5.1,3.4,1.1,0.2,0.445,0.372
Corey Kispert,26.3,11.6,3.0,1.7,0.4,0.2,0.451,0.364
Jeremy Sochan,25.3,11.4,6.5,2.4,0.8,0.5,0.535,0.308
Toumani Camara,32.7,11.3,5.8,2.2,1.5,0.6,0.458,0.375
Isaiah Hartenstein,27.9,11.2,10.7,3.8,0.8,1.1,0.581,0.0
Buddy Hield,22.7,11.1,3.2,1.6,0.8,0.3,0.417,0.37
Jrue Holiday,30.6,11.1,4.3,3.9,1.1,0.4,0.443,0.353
Walker Kessler,30.0,11.1,12.2,1.7,0.6,2.4,0.663,0.176
Gary Trent Jr.,25.6,11.1,2.3,1.2,1.0,0.1,0.431,0.416
Spencer Dinwiddie,27.0,11.0,2.6,4.4,0.9,0.2,0.416,0.334
Tim Hardaway Jr.,28.0,11.0,2.4,1.6,0.5,0.1,0.406,0.368
Duncan Robinson,24.1,11.0,2.3,2.4,0.5,0.1,0.437,0.393
Guerschon Yabusele,27.1,11.0,5.6,2.1,0.8,0.3,0.501,0.38
Brice Sensabaugh,20.2,10.9,3.0,1.5,0.6,0.1,0.459,0.422
Bogdan BogdanoviÄ,25.0,10.8,2.9,2.7,0.8,0.2,0.427,0.363
Bogdan BogdanoviÄ,24.9,10.0,2.8,2.0,0.8,0.3,0.371,0.301
Bogdan BogdanoviÄ,25.0,11.4,3.1,3.2,0.7,0.2,0.474,0.427
Jordan Hawkins,23.6,10.8,2.8,1.2,0.5,0.4,0.372,0.331
Brandon Boston Jr.,23.6,10.7,3.2,2.2,1.3,0.2,0.436,0.35
Nikola JoviÄ,25.1,10.7,3.9,2.8,0.8,0.3,0.456,0.371
Grayson Allen,24.1,10.6,3.0,2.1,0.8,0.3,0.448,0.426
Keon Johnson,24.4,10.6,3.8,2.2,1.0,0.4,0.389,0.314
Terry Rozier,25.9,10.6,3.7,2.6,0.6,0.2,0.391,0.295
Obi Toppin,19.6,10.5,4.0,1.6,0.6,0.4,0.529,0.365
Jonas ValanÄiÅ«nas,18.8,10.4,7.7,2.0,0.5,0.6,0.55,0.216
Jonas ValanÄiÅ«nas,20.1,11.5,8.2,2.2,0.4,0.6,0.547,0.259
Jonas ValanÄiÅ«nas,16.9,8.7,7.0,1.8,0.5,0.6,0.556,0.1
Ochai Agbaji,27.2,10.4,3.8,1.5,0.9,0.5,0.498,0.399
Jaylen Wells,25.9,10.4,3.4,1.7,0.6,0.1,0.425,0.352
Grant Williams,29.9,10.4,5.1,2.3,1.1,0.8,0.439,0.365
Kevin Porter Jr.,19.8,10.3,3.7,3.4,1.1,0.2,0.449,0.311
Kevin Porter Jr.,19.6,9.3,3.6,3.2,1.0,0.2,0.423,0.245
Kevin Porter Jr.,19.9,11.7,3.9,3.7,1.3,0.1,0.494,0.408
Jose Alvarado,24.4,10.3,2.4,4.6,1.3,0.3,0.392,0.359
Nic Claxton,26.9,10.3,7.4,2.2,0.9,1.4,0.563,0.238
Herbert Jones,32.4,10.3,3.9,3.3,1.9,0.5,0.436,0.306
De'Anthony Melton,20.2,10.3,3.3,2.8,1.2,0.3,0.407,0.371
Isaiah Joe,21.7,10.2,2.6,1.6,0.6,0.1,0.44,0.412
Tyus Jones,26.8,10.2,2.4,5.3,0.9,0.1,0.448,0.414
Trendon Watford,20.8,10.2,3.6,2.6,0.6,0.3,0.469,0.33
Keion Brooks Jr.,23.7,10.1,4.1,0.9,0.7,0.7,0.486,0.326
Luguentz Dort,29.2,10.1,4.1,1.6,1.1,0.5,0.435,0.412
Justin Edwards,26.3,10.1,3.4,1.6,1.0,0.4,0.455,0.363
Derrick Jones Jr.,24.3,10.1,3.4,0.8,1.0,0.4,0.526,0.356
Ausar Thompson,22.5,10.1,5.1,2.3,1.7,0.7,0.535,0.224
Chris Boucher,17.2,10.0,4.5,0.7,0.5,0.5,0.492,0.363
Andrew Nembhard,28.9,10.0,3.3,5.0,1.2,0.2,0.458,0.291
Ziaire Williams,24.5,10.0,4.6,1.3,1.0,0.4,0.412,0.341
Kevin Huerter,24.3,9.9,3.0,2.3,1.0,0.3,0.425,0.338
Kevin Huerter,20.9,7.9,2.8,1.7,0.8,0.4,0.413,0.302
Kevin Huerter,30.0,13.2,3.3,3.2,1.2,0.3,0.439,0.376
Georges Niang,21.5,9.9,3.4,1.4,0.4,0.2,0.461,0.406
Georges Niang,20.6,8.7,3.7,1.3,0.3,0.1,0.477,0.4
Georges Niang,23.0,12.1,3.0,1.6,0.4,0.3,0.441,0.413
Julian Champagnie,23.6,9.9,3.9,1.4,0.7,0.4,0.415,0.371
Scotty Pippen Jr.,21.3,9.9,3.3,4.4,1.3,0.4,0.48,0.397
Nick Smith Jr.,22.8,9.9,2.1,2.4,0.3,0.1,0.391,0.34
Bub Carrington,30.0,9.8,4.2,4.4,0.7,0.3,0.401,0.339
