Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%
Kai Jones,21.7,11.4,6.6,1.3,0.8,0.8,0.836,0.333
Ben Simmons,22.0,5.0,4.7,5.6,0.7,0.5,0.52,
Ben Simmons,25.0,6.2,5.2,6.9,0.8,0.5,0.547,
Ben Simmons,16.4,2.9,3.8,3.1,0.7,0.4,0.434,
Malaki Branham,9.1,5.0,1.1,0.8,0.2,0.0,0.458,0.405
Neemias Queta,13.9,5.0,3.8,0.7,0.3,0.7,0.65,0.0
Alondes Williams,4.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0
Jaylen Martin,14.9,4.9,2.8,1.1,0.6,0.0,0.419,0.304
Jaylen Martin,1.7,1.0,0.0,0.0,0.0,0.0,0.5,1.0
Jaylen Martin,18.0,5.8,3.4,1.3,0.7,0.0,0.417,0.273
Lindy Waters III,15.0,4.9,2.1,1.0,0.5,0.2,0.369,0.344
Lindy Waters III,17.2,5.5,2.5,1.1,0.6,0.3,0.371,0.331
Lindy Waters III,8.8,3.4,1.0,0.7,0.4,0.1,0.364,0.395
Trevelin Queen,13.9,4.9,1.7,1.2,1.0,0.3,0.381,0.286
Jock Landale,11.9,4.8,3.3,0.9,0.3,0.2,0.533,0.423
Colin Castleton,16.6,4.7,4.7,1.1,0.3,0.4,0.469,0.125
Colin Castleton,4.6,1.4,0.9,0.0,0.1,0.1,0.2,0.0
Colin Castleton,26.2,7.2,6.9,1.6,0.5,0.7,0.5,0.25
Colin Castleton,19.6,6.0,7.4,2.0,0.2,0.2,0.5,0.0
Taylor Hendricks,25.0,4.7,5.0,0.7,1.7,1.3,0.222,0.25
David Roddy,12.4,4.6,2.5,1.1,0.4,0.3,0.456,0.311
David Roddy,12.8,4.5,2.6,1.1,0.4,0.3,0.473,0.372
David Roddy,9.7,6.0,3.0,1.0,0.7,0.0,0.421,0.182
David Roddy,11.7,4.3,1.7,0.7,0.0,0.3,0.385,0.143
Drew Eubanks,12.2,4.6,3.7,0.9,0.2,0.6,0.593,0.5
Drew Eubanks,15.4,5.8,4.5,1.2,0.3,0.9,0.607,0.6
Drew Eubanks,7.4,2.7,2.4,0.4,0.1,0.3,0.551,0.0
Pelle Larsson,14.2,4.6,1.7,1.2,0.6,0.1,0.438,0.337
Julian Phillips,14.2,4.6,2.1,0.5,0.5,0.3,0.446,0.327
Cody Williams,21.2,4.6,2.3,1.2,0.5,0.3,0.323,0.259
Rob Dillingham,10.5,4.5,1.0,2.0,0.4,0.0,0.441,0.338
Jett Howard,11.7,4.5,1.2,0.7,0.2,0.2,0.374,0.296
Kevon Looney,15.0,4.5,6.1,1.6,0.6,0.5,0.514,0.4
Mason Plumlee,17.6,4.5,6.1,1.8,0.4,0.6,0.619,0.0
Dalen Terry,13.5,4.5,1.7,1.3,0.6,0.2,0.448,0.356
Marvin Bagley III,8.5,4.4,2.7,0.4,0.3,0.3,0.519,0.158
Marvin Bagley III,8.7,4.9,2.9,0.4,0.4,0.3,0.535,0.2
Marvin Bagley III,8.3,3.6,2.3,0.3,0.2,0.3,0.486,0.111
Charles Bassey,10.4,4.4,4.2,0.5,0.4,0.8,0.581,
Tony Bradley,8.1,4.4,3.0,0.4,0.1,0.6,0.644,0.333
Reggie Jackson,12.4,4.4,1.4,1.5,0.5,0.1,0.391,0.338
Reed Sheppard,12.6,4.4,1.5,1.4,0.7,0.3,0.351,0.338
Lamar Stevens,9.1,4.4,2.2,0.5,0.3,0.2,0.46,0.296
Mo Bamba,12.9,4.3,4.5,0.6,0.3,1.0,0.464,0.278
Mo Bamba,12.6,4.6,4.3,0.6,0.3,1.0,0.466,0.3
Mo Bamba,15.3,2.5,6.3,0.5,0.0,0.8,0.444,0.0
Jevon Carter,8.9,4.3,1.1,1.1,0.4,0.1,0.377,0.333
Micah Potter,18.6,4.3,4.3,0.8,0.4,0.4,0.422,0.316
Terrence Shannon Jr.,10.6,4.3,1.5,1.0,0.2,0.2,0.482,0.355
Daniel Theis,16.3,4.3,4.3,1.6,0.5,0.5,0.473,0.243
Torrey Craig,12.1,4.2,2.8,0.7,0.3,0.5,0.422,0.364
Torrey Craig,12.6,6.9,2.8,0.6,0.2,0.1,0.489,0.429
Torrey Craig,11.8,2.7,2.8,0.7,0.4,0.6,0.356,0.29
Wendell Moore Jr.,13.9,4.2,2.6,1.2,0.6,0.1,0.468,0.341
Wendell Moore Jr.,11.0,3.2,2.2,1.2,0.5,0.2,0.46,0.286
Wendell Moore Jr.,17.5,5.4,3.2,1.2,0.6,0.1,0.474,0.37
Dominick Barlow,10.7,4.2,2.4,0.5,0.3,0.5,0.531,0.259
Kessler Edwards,15.2,4.2,2.9,1.1,0.5,0.5,0.496,0.407
Oso Ighodaro,17.1,4.2,3.6,1.2,0.5,0.5,0.604,0.0
Kris Murray,15.1,4.2,2.6,1.0,0.5,0.2,0.419,0.225
Duop Reath,10.2,4.2,2.0,0.6,0.3,0.3,0.422,0.321
Cam Spencer,10.1,4.2,1.2,1.4,0.4,0.0,0.415,0.365
Maxwell Lewis,11.7,4.1,2.0,0.7,0.3,0.3,0.417,0.38
Maxwell Lewis,4.1,0.6,0.3,0.3,0.1,0.0,0.333,
Maxwell Lewis,14.2,5.3,2.5,0.8,0.4,0.3,0.422,0.38
Jaylen Clark,13.1,4.1,1.3,0.7,0.9,0.1,0.467,0.431
Caleb Houstan,13.6,4.1,1.3,0.6,0.4,0.1,0.421,0.4
Jordan Miller,11.4,4.1,1.6,0.9,0.5,0.1,0.433,0.211
Jalen Pickett,13.6,4.1,1.4,2.2,0.4,0.1,0.428,0.396
Paul Reed,9.7,4.1,2.7,1.0,0.9,0.6,0.507,0.286
Gui Santos,13.6,4.1,3.1,1.4,0.4,0.2,0.458,0.33
Jarred Vanderbilt,16.1,4.1,5.1,1.1,1.0,0.3,0.488,0.281
Colby Jones,13.2,4.0,2.2,1.1,0.7,0.3,0.457,0.327
Colby Jones,5.4,1.1,1.0,0.3,0.3,0.3,0.423,0.4
Colby Jones,25.7,8.7,4.3,2.5,1.3,0.4,0.466,0.308
Nicolas Batum,17.5,4.0,2.8,1.1,0.7,0.5,0.437,0.433
Malachi Flynn,11.0,4.0,1.8,1.8,0.8,0.0,0.385,0.25
Ron Harper Jr.,17.0,4.0,7.0,2.0,0.0,0.0,0.125,0.0
Josh Richardson,18.8,4.0,1.5,1.5,1.0,0.1,0.289,0.273
Steven Adams,13.7,3.9,5.6,1.1,0.4,0.5,0.545,0.0
Kyle Lowry,18.8,3.9,1.9,2.7,0.9,0.3,0.35,0.33
Olivier-Maxence Prosper,11.2,3.9,2.4,0.8,0.5,0.1,0.402,0.235
Patty Mills,11.1,3.8,0.8,0.9,0.4,0.1,0.375,0.347
Patty Mills,15.3,4.4,1.2,1.2,0.7,0.2,0.342,0.298
Patty Mills,5.1,3.1,0.1,0.4,0.1,0.0,0.5,0.5
Branden Carlson,7.7,3.8,1.7,0.4,0.2,0.7,0.443,0.333
Devin Carter,11.0,3.8,2.1,1.1,0.6,0.1,0.37,0.295
Ousmane Dieng,10.9,3.8,2.2,0.8,0.5,0.2,0.432,0.324
Markieff Morris,11.0,3.7,1.5,1.4,0.1,0.2,0.3,0.25
Markieff Morris,5.9,1.7,1.1,0.6,0.1,0.1,0.227,0.154
Markieff Morris,15.5,5.5,1.9,2.1,0.1,0.3,0.333,0.304
Emoni Bates,7.5,3.7,0.7,0.8,0.1,0.1,0.342,0.367
DeAndre Jordan,12.3,3.7,5.1,0.9,0.3,0.5,0.65,
Craig Porter Jr.,10.1,3.7,1.3,1.4,0.3,0.3,0.514,0.438
Jackson Rowe,8.7,3.7,1.8,0.7,0.7,0.0,0.471,0.3
Blake Wesley,11.8,3.7,1.1,2.0,0.6,0.1,0.435,0.293
JT Thor,12.5,3.6,2.4,0.3,0.4,0.5,0.424,0.286
JT Thor,4.7,3.1,0.7,0.1,0.2,0.3,0.6,0.5
JT Thor,18.8,3.9,3.8,0.5,0.5,0.5,0.364,0.2
Baylor Scheierman,12.4,3.6,2.1,1.1,0.5,0.1,0.355,0.317
Jae'Sean Tate,11.3,3.6,2.3,0.9,0.5,0.1,0.473,0.348
Jaylon Tyson,9.6,3.6,2.0,0.9,0.3,0.1,0.43,0.345
Elfrid Payton,21.3,3.5,3.3,6.9,1.0,0.5,0.328,0.167
Elfrid Payton,21.6,4.4,3.7,8.1,1.0,0.4,0.366,0.167
Elfrid Payton,20.5,1.0,2.2,3.3,1.0,0.5,0.143,
Luka Garza,5.6,3.5,1.4,0.3,0.2,0.1,0.495,0.278
Cory Joseph,12.2,3.5,1.5,1.4,0.5,0.1,0.403,0.364
Doug McDermott,8.1,3.5,0.5,0.2,0.1,0.0,0.427,0.436
Dario Å ariÄ,13.1,3.5,3.1,1.4,0.4,0.1,0.362,0.269
Jamaree Bouyea,12.4,3.4,1.0,2.0,0.8,0.4,0.5,0.2
Bruno Fernando,8.6,3.4,3.0,1.1,0.2,0.5,0.531,
Andre Jackson Jr.,14.6,3.4,2.7,1.2,0.5,0.2,0.477,0.395
Isaac Jones,7.6,3.4,1.4,0.3,0.1,0.3,0.651,0.375
Kevin Knox,6.0,3.3,1.2,0.4,0.1,0.3,0.5,0.267
Damion Lee,5.8,3.3,0.8,0.4,0.2,0.0,0.365,0.243
Jeenathan Williams,7.4,3.3,0.7,0.5,0.4,0.2,0.435,0.231
Elijah Harkless,13.8,3.2,2.1,0.8,1.0,0.1,0.314,0.28
Zeke Nnaji,10.7,3.2,1.6,0.4,0.4,0.7,0.496,0.327
Cam Reddish,17.8,3.2,2.0,0.7,1.0,0.3,0.404,0.277
Delon Wright,15.9,3.1,1.7,1.9,0.9,0.3,0.344,0.274
Delon Wright,15.6,2.5,1.8,1.8,0.9,0.3,0.268,0.245
Delon Wright,16.4,4.3,1.4,2.1,0.9,0.2,0.469,0.333
Kylor Kelley,11.5,3.1,3.5,0.5,0.1,0.3,0.636,
Kylor Kelley,8.4,3.0,2.6,0.3,0.0,0.3,0.769,
Kylor Kelley,19.7,3.3,6.0,1.0,0.3,0.3,0.444,
Gary Harris,14.8,3.0,1.3,0.6,0.5,0.3,0.383,0.356
Maxi Kleber,18.7,3.0,2.8,1.3,0.3,0.5,0.385,0.265
Taze Moore,10.0,3.0,4.0,0.5,1.0,0.0,0.2,0.25
Rayan Rupert,8.8,3.0,1.3,0.5,0.3,0.1,0.408,0.271
P.J. Tucker,19.3,3.0,2.7,0.0,0.3,0.3,0.429,0.5
Pete Nance,10.6,2.9,1.6,0.8,0.2,0.2,0.438,0.375
Pete Nance,9.7,2.1,1.4,0.4,0.1,0.0,0.333,0.333
Pete Nance,11.7,3.8,1.8,1.2,0.2,0.3,0.529,0.417
Markelle Fultz,8.8,2.9,1.0,1.3,0.5,0.1,0.418,0.5
Taj Gibson,11.1,2.9,3.2,0.6,0.2,0.5,0.495,0.5
Tyler Smith,5.3,2.9,1.1,0.2,0.1,0.2,0.48,0.433
RayJ Dennis,6.4,2.7,1.1,1.3,0.6,0.2,0.333,0.286
David Duke Jr.,5.7,2.7,0.8,0.7,0.2,0.0,0.429,0.5
Keshad Johnson,6.1,2.7,1.8,0.3,0.3,0.3,0.692,0.429
Reece Beekman,13.0,2.6,1.1,1.8,0.9,0.1,0.327,0.175
Reece Beekman,2.0,1.0,0.5,0.5,0.5,0.0,1.0,
Reece Beekman,13.7,2.7,1.1,1.8,0.9,0.1,0.321,0.175
Jae Crowder,11.4,2.6,2.2,0.7,0.3,0.0,0.318,0.267
Josh Minott,6.0,2.6,1.0,0.4,0.3,0.3,0.489,0.326
Hunter Tyson,7.8,2.6,1.5,0.4,0.2,0.1,0.375,0.311
Jaden Springer,8.5,2.5,1.3,0.8,0.6,0.1,0.389,0.25
Jaden Springer,5.4,1.7,0.9,0.4,0.5,0.0,0.353,0.316
Jaden Springer,13.2,3.8,2.0,1.4,0.7,0.2,0.411,0.207
Trey Jemison,10.3,2.5,2.8,0.4,0.2,0.4,0.554,
Trey Jemison,10.4,2.4,2.8,0.6,0.4,0.4,0.469,
Trey Jemison,10.3,2.6,2.8,0.3,0.1,0.4,0.619,
Anthony Gill,7.8,2.5,1.3,0.3,0.2,0.0,0.489,0.323
Dillon Jones,10.2,2.5,2.2,1.1,0.3,0.1,0.383,0.254
Pat Spencer,6.4,2.5,1.2,1.2,0.4,0.1,0.406,0.227
Johnny Davis,7.1,2.4,1.1,0.3,0.4,0.2,0.41,0.241
Christian Koloko,9.2,2.4,2.5,0.4,0.2,0.4,0.606,0.0
John Konchar,12.1,2.4,3.3,0.9,0.7,0.3,0.451,0.371
MarJon Beauchamp,4.5,2.3,1.3,0.3,0.1,0.0,0.415,0.345
MarJon Beauchamp,4.7,2.0,1.2,0.3,0.1,0.0,0.383,0.333
MarJon Beauchamp,5.7,4.0,1.0,0.7,0.0,0.0,0.571,0.667
MarJon Beauchamp,2.8,2.5,1.5,0.2,0.2,0.0,0.455,0.2
Bronny James,6.7,2.3,0.7,0.8,0.3,0.1,0.313,0.281
Mason Jones,4.5,2.3,0.9,1.1,0.0,0.1,0.5,0.125
Miles Norris,11.7,2.3,3.0,0.0,0.7,0.3,0.222,0.286
Patrick Baldwin Jr.,4.5,2.2,1.0,0.1,0.1,0.1,0.543,0.565
Patrick Baldwin Jr.,4.6,2.1,1.0,0.1,0.1,0.1,0.515,0.524
Patrick Baldwin Jr.,3.0,3.0,1.5,0.5,0.0,0.0,1.0,1.0
Drew Peterson,7.4,2.2,1.6,0.5,0.2,0.1,0.415,0.394
TyTy Washington Jr.,7.4,2.2,0.8,1.0,0.2,0.0,0.311,0.19
Jordan McLaughlin,6.8,2.1,0.7,1.1,0.3,0.0,0.431,0.413
Jordan McLaughlin,6.8,1.9,0.8,0.9,0.4,0.0,0.364,0.385
Jordan McLaughlin,6.9,2.5,0.5,1.5,0.3,0.1,0.536,0.45
JD Davison,5.8,2.1,0.8,0.8,0.3,0.1,0.353,0.222
Chris Duarte,4.4,2.1,1.2,0.5,0.0,0.0,0.462,0.4
Enrique Freeman,8.2,2.1,1.4,0.4,0.1,0.1,0.432,0.1
Johnny Furphy,7.6,2.1,1.4,0.4,0.4,0.2,0.38,0.3
Dwight Powell,10.0,2.1,2.1,1.0,0.3,0.4,0.689,0.4
Josh Christopher,4.9,2.0,0.6,0.6,0.4,0.2,0.355,0.182
Tyler Kolek,7.2,2.0,0.7,1.7,0.3,0.1,0.329,0.298
Adama Sanogo,5.3,2.0,1.5,0.3,0.0,0.0,0.571,
Kobe Brown,6.8,1.9,1.6,0.6,0.2,0.1,0.458,0.231
Ariel Hukporti,8.7,1.9,2.0,0.4,0.0,0.6,0.677,
Bobi Klintman,5.3,1.9,0.9,0.9,0.3,0.1,0.6,0.4
Garrett Temple,8.1,1.9,1.0,1.1,0.6,0.1,0.3,0.214
Jericho Sims,11.9,1.8,3.7,0.6,0.2,0.4,0.634,
Jericho Sims,10.8,1.6,3.3,0.6,0.2,0.3,0.609,
Jericho Sims,15.0,2.4,4.9,0.8,0.1,0.6,0.68,
Vlatko ÄanÄar,10.5,1.8,2.5,0.7,0.2,0.2,0.385,0.267
Adam Flagler,5.5,1.8,0.7,0.3,0.2,0.1,0.26,0.194
Trentyn Flowers,4.5,1.8,0.7,0.0,0.0,0.0,0.364,0.0
E.J. Liddell,4.4,1.8,0.8,0.3,0.1,0.1,0.533,0.3
Jahmir Young,5.0,1.8,0.5,1.0,0.0,0.0,0.8,0.5
Pacome Dadiet,6.2,1.7,1.0,0.3,0.2,0.1,0.323,0.316
Alex Ducas,6.0,1.7,1.2,0.2,0.2,0.0,0.4,0.476
PJ Hall,3.5,1.7,1.2,0.2,0.0,0.2,0.583,0.25
Emanuel Miller,4.2,1.7,1.3,0.3,0.2,0.0,0.5,0.0
Tristan Thompson,8.2,1.7,3.4,0.6,0.1,0.3,0.437,0.0
Alex Len,8.3,1.6,2.1,0.8,0.2,0.5,0.508,0.222
Alex Len,7.2,1.4,1.8,0.8,0.2,0.5,0.537,0.167
Alex Len,12.2,2.2,3.1,0.8,0.1,0.3,0.455,0.333
Yuki Kawamura,4.2,1.6,0.5,0.9,0.1,0.0,0.367,0.304
Jack McVeigh,4.8,1.6,0.6,0.1,0.0,0.2,0.294,0.308
Armel TraorÃ©,7.4,1.6,1.7,0.1,0.4,0.2,0.316,0.0
Jordan Walsh,7.8,1.6,1.3,0.4,0.2,0.2,0.361,0.273
Phillip Wheeler,8.8,1.6,1.6,0.4,0.2,0.4,0.143,0.0
Sidy Cissoko,5.2,1.5,1.0,0.7,0.1,0.0,0.433,0.231
Sidy Cissoko,3.2,1.3,0.6,0.4,0.1,0.0,0.5,0.429
Sidy Cissoko,12.0,2.0,2.2,1.8,0.2,0.2,0.333,0.0
Jazian Gortman,3.6,1.5,0.3,0.4,0.1,0.1,0.391,0.364
Kevin McCullar Jr.,7.3,1.5,2.0,0.5,0.3,0.3,0.286,0.0
Leonard Miller,2.5,1.5,0.8,0.0,0.2,0.1,0.4,0.0
Quincy Olivari,5.0,1.5,0.0,0.5,0.0,0.0,0.2,0.2
Matt Ryan,3.6,1.5,0.4,0.2,0.1,0.0,0.323,0.316
Jacob Toppin,4.5,1.4,0.9,0.4,0.1,0.0,0.409,0.5
Jacob Toppin,3.1,0.4,0.7,0.3,0.1,0.0,0.3,0.0
Jacob Toppin,27.0,17.0,4.0,2.0,0.0,0.0,0.5,0.625
Cam Christie,4.5,1.4,0.9,0.5,0.4,0.1,0.292,0.154
Chris Livingston,5.0,1.4,1.7,0.2,0.2,0.0,0.333,0.0
Trey Alexander,4.9,1.3,0.5,0.5,0.1,0.0,0.317,0.176
Spencer Jones,6.3,1.3,0.9,0.3,0.3,0.3,0.324,0.059
Skal LabissiÃ¨re,3.0,1.3,0.8,0.3,0.0,0.0,0.5,1.0
Jalen Bridges,3.8,1.1,0.5,0.0,0.0,0.0,0.286,0.286
Yuri Collins,8.0,1.0,1.5,2.0,1.0,0.0,0.333,
Daniss Jenkins,3.3,1.0,0.3,0.4,0.0,0.0,0.3,0.143
Braxton Key,3.7,1.0,0.7,0.0,0.7,0.0,0.0,0.0
Bryce McGowens,2.5,1.0,0.2,0.2,0.1,0.0,0.286,0.0
Xavier Tillman Sr.,7.0,1.0,1.3,0.2,0.3,0.2,0.245,0.156
Luke Travers,7.3,1.0,1.7,0.7,0.1,0.1,0.25,0.0
Isaiah Crawford,3.1,0.9,0.5,0.1,0.1,0.1,0.455,0.2
Justin Minaya,5.3,0.9,0.5,0.4,0.3,0.1,0.381,0.2
Anton Watson,2.4,0.9,0.3,0.2,0.1,0.0,0.444,0.0
D.J. Carton,8.3,0.8,1.0,0.8,0.5,0.0,0.143,0.0
PJ Dozier,3.9,0.8,0.6,0.6,0.1,0.0,0.667,0.667
Joe Ingles,6.0,0.8,0.6,1.2,0.1,0.0,0.261,0.2
Harrison Ingram,7.0,0.8,1.8,0.6,0.6,0.0,0.5,0.0
Ulrich Chomche,4.6,0.7,1.1,0.3,0.0,0.1,0.4,
James Johnson,3.1,0.7,0.5,0.3,0.0,0.2,0.364,0.0
Liam Robbins,4.4,0.7,0.9,0.2,0.2,0.2,0.25,0.0
Stanley Umude,3.9,0.7,0.8,0.2,0.1,0.3,0.192,0.2
Cui Yongxi,2.0,0.6,0.4,0.0,0.0,0.0,0.143,0.0
Tristen Newton,2.0,0.4,0.5,0.3,0.1,0.0,0.125,0.0
Tristen Newton,1.6,0.6,0.0,0.2,0.0,0.0,0.167,0.0
Tristen Newton,2.7,0.0,1.3,0.3,0.3,0.0,0.0,
Malevy Leons,3.5,0.3,0.5,0.2,0.0,0.0,0.0,0.0
Daishen Nix,4.3,0.3,1.3,1.0,0.0,0.0,0.0,0.0
Terence Davis,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Jesse Edwards,2.5,0.0,0.0,0.5,0.0,0.0,,
Mac McClung,5.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0
Jalen McDaniels,1.8,0.0,0.0,0.3,0.3,0.0,,
Riley Minix,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Jahlil Okafor,3.0,0.0,1.0,1.0,0.0,0.0,,
Zyon Pullin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Isaiah Stevens,2.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0
Terry Taylor,2.0,0.0,0.3,0.7,0.0,0.0,0.0,
